category,file,distance_cm,angle_deg,mic,run_idx,run_trial_start,run_trial_end,roi_start,roi_end,roi_len,target_band_hz,cfg_id,method,order,bw_hz,energy_halfwidth_hz,roi_rms,envelope_peak,envelope_median,envelope_peak_prominence_ratio,envelope_peak_to_second_ratio,peak_count_over_35pct,false_peak_penalty,detectability_score,peak_index,peak_time_us,target_energy,off_energy,main_off_ratio,main_off_ratio_db,main_peak_power,secondary_peak_power,main_secondary_peak_ratio,main_secondary_peak_ratio_db,dominant_freq_hz,dominant_freq_error_hz,energy_40k,energy_50k,energy_60k
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o2_bw2500,iir,2,2500.0,1500.0,126.86147002959416,241.16360521165353,178.01579488626433,1.354731502144141,1.0000705690887108,41.0,40.0,-3.9274669326266043,217.0,108.5,815881491.506264,24604.10897971479,33160.37545512943,45.20619439163152,815881491.506264,24327.14396228315,33537.90698863821,90.5107191190996,41269.84126984127,1269.8412698412722,815881491.506264,24327.14396228315,276.96501743164004
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o2_bw2500,iir,2,2500.0,1500.0,15.51459197406891,39.31392936279955,18.995062438731573,2.0696920312636116,1.002966400461028,29.0,28.0,-2.625672976901595,20.0,10.0,9624787.389336158,45324.58661436619,212.35245830759462,23.270572929850143,9624787.389336158,45282.55631889603,212.54955929508367,46.549204176567486,50793.6507936508,793.6507936507987,45282.55631889603,9624787.389336158,42.03029547016127
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,60000.0,iir_o2_bw2500,iir,2,2500.0,1500.0,33.13704163799586,55.90150901933227,48.314658915712016,1.1570299837334015,1.0000226324119246,47.0,46.0,-4.565156039473562,241.0,120.5,61867553.76231597,282.07217497197485,219332.35268052432,53.41102697132641,61867553.76231597,276.71895640112604,223575.40866348826,106.98848066505025,60317.460317460325,317.4603174603253,5.353218570848828,276.71895640112604,61867553.76231597
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o2_bw3000,iir,2,3000.0,1500.0,133.73354574360965,268.7160102179675,183.62310278251016,1.4634106827845241,1.0001471049667578,21.0,20.0,-1.9090198314567186,215.0,107.5,915789275.598226,34796.80696583316,26318.198577744093,44.202561594662455,915789275.598226,34654.43454362543,26426.322854737864,88.44073473066466,41269.84126984127,1269.8412698412722,915789275.598226,34654.43454362543,142.37242220772725
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o2_bw3000,iir,2,3000.0,1500.0,16.644176770716673,46.09084035294848,19.85878594900411,2.3209294098493247,1.0034342309858266,42.0,41.0,-3.898215926954166,20.0,10.0,10233678.749929354,179491.80056511078,57.01474227630292,17.559871655221986,10233678.749929354,178062.91673393996,57.472262825057655,35.189165934352914,50793.6507936508,793.6507936507987,178062.91673393996,10233678.749929354,1428.8838311708334
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,60000.0,iir_o2_bw3000,iir,2,3000.0,1500.0,34.42489744444287,59.28015993350424,49.12450411743329,1.2067329940225433,1.000041299125501,36.0,35.0,-3.4551057760116004,245.0,122.5,67774257.6245587,253.8497172545887,266985.75187533844,54.26488085158476,67774257.6245587,193.70117898546232,349890.7852783124,110.87865010113126,60317.460317460325,317.4603174603253,60.14853826912638,193.70117898546232,67774257.6245587
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o2_bw3500,iir,2,3500.0,1500.0,139.41087150257312,289.9802454191631,187.33571327019422,1.547917587934358,1.0000373247470775,17.0,16.0,-1.4956313964925956,213.0,106.5,994827172.4610566,54487.09593767834,18258.03257341752,42.614539775497235,994827172.4610566,54442.68717110248,18272.925605867207,85.23616172183522,41269.84126984127,1269.8412698412722,994827172.4610566,54442.68717110248,44.40876657586671
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o2_bw3500,iir,2,3500.0,1500.0,17.692232128022223,52.06049747481995,22.631813303960065,2.300323742318439,1.0036724721165722,34.0,33.0,-3.100299665153792,20.0,10.0,10732888.734316016,601652.6888779558,17.839010666323414,12.51370765170676,10732888.734316016,590957.6050104689,18.16185906284408,25.183206024022038,50793.6507936508,793.6507936507987,590957.6050104689,10732888.734316016,10695.083867486912
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,60000.0,iir_o2_bw3500,iir,2,3500.0,1500.0,35.35364729717966,61.74258629427282,49.89733313309842,1.2373925101282786,1.0000173043099192,30.0,29.0,-2.8491175025927538,249.0,124.49999999999999,71802745.0624811,2739.715438711341,26208.10323872701,44.18435590852652,71802745.0624811,2452.5598279754504,29276.65382244849,89.33042874998716,60317.460317460325,317.4603174603253,287.1556107358908,2452.5598279754504,71802745.0624811
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o2_bw4000,iir,2,4000.0,1500.0,143.7560521161815,305.31879929283645,190.19558064415824,1.6052886100653598,1.0000381382573609,12.0,11.0,-0.9869383283357751,208.0,104.0,1053532500.4668843,85596.01152048528,12308.196161859101,40.90194409198275,1053532500.4668843,85510.89094483345,12320.448177139926,81.8125301262411,41269.84126984127,1269.8412698412722,1053532500.4668843,85510.89094483345,85.12057565182985
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o2_bw4000,iir,2,4000.0,1500.0,18.93959643962069,57.57546140062347,24.98040025054407,2.3048254160526183,1.0036740802382216,28.0,27.0,-2.499832362166359,20.0,10.0,11178356.709645571,1725110.3912990682,6.479792114189213,8.115610729834447,11178356.709645571,1682970.4687227851,6.642039725229928,16.44602937464979,50793.6507936508,793.6507936507987,1682970.4687227851,11178356.709645571,42139.92257628321
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,60000.0,iir_o2_bw4000,iir,2,4000.0,1500.0,36.02070638487068,63.42130691019134,50.52460078820877,1.255255972749637,1.0000177296978427,31.0,30.0,-2.945693771991802,252.0,126.0,74358651.03658228,12065.07988166599,6163.129607585703,37.89801300826153,74358651.03658228,11099.750434477708,6699.12818991062,76.5203657646238,60317.460317460325,317.4603174603253,965.329447188282,11099.750434477708,74358651.03658228
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o2_bw4500,iir,2,4500.0,1500.0,146.9717978025364,316.62240363406266,192.7039054582173,1.643051306517045,1.0000266497041754,8.0,7.0,-0.5813866730543922,183.0,91.5,1095705630.8168483,131455.05058215235,8335.211359049998,39.20916616870119,1095705630.8168483,130956.70829655927,8366.930148668349,78.4513228658514,41269.84126984127,1269.8412698412722,1095705630.8168483,130956.70829655927,498.342285593091
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o2_bw4500,iir,2,4500.0,1500.0,20.69937120537502,63.12513335602647,26.031311762279252,2.424969357383507,1.0034171739966353,23.0,22.0,-1.9877448712268857,20.0,10.0,11574178.015996495,4308304.526891724,2.686480944824673,4.291837644703762,11574178.015996495,4187151.765921018,2.7642126827592084,8.831429105412258,50793.6507936508,793.6507936507987,4187151.765921018,11574178.015996495,121152.76097070592
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,60000.0,iir_o2_bw4500,iir,2,4500.0,1500.0,36.511595413146225,64.5879411207378,51.10982428655789,1.263708925286277,1.00000538785773,34.0,33.0,-3.24409306798734,258.0,129.0,75927085.06722498,36438.56318139854,2083.701398687006,33.188354832484414,75927085.06722498,33764.32836383644,2248.736721460964,67.03877223801595,60317.460317460325,317.4603174603253,2674.2348175621023,33764.32836383644,75927085.06722498
