family,classifier,n_features,mean_acc,std_acc,mean_macro_f1,mean_balanced_acc
F1,RandomForest,330,0.7148,0.09100368734898116,0.680418695372662,0.7148
F1+F15,RandomForest,423,0.7101333333333334,0.11128134514723381,0.6736166481799658,0.7101333333333334
F1_with_da,RandomForest,332,0.7069333333333333,0.10828571261046195,0.6689198712297202,0.7069333333333334
F1+F15_with_da,RandomForest,425,0.6911999999999999,0.0999976888621821,0.6497726652928076,0.6912
F1+F15_with_da,RBF-SVM,425,0.6757333333333333,0.06665279855756663,0.6461468958839783,0.6757333333333333
F1_with_da,RBF-SVM,332,0.6704000000000001,0.10708717113745336,0.63783631266954,0.6704000000000001
F1,RBF-SVM,330,0.6665333333333334,0.10116863809171961,0.6312213958314905,0.6665333333333334
F1+F15,RBF-SVM,423,0.6654666666666668,0.06375843299343059,0.633309750819527,0.6654666666666667
F1+F2_with_da,RandomForest,1736,0.6545333333333333,0.12796346700870875,0.616316034708664,0.6545333333333333
F1+F2,RandomForest,1734,0.6541333333333333,0.12337217406422459,0.6193321046887117,0.6541333333333333
F1+F15+F2_full_hybrid_with_da,RandomForest,1829,0.6476,0.12133816840183105,0.6057778611953084,0.6476000000000001
F1+F15+F2_full_hybrid,RandomForest,1827,0.6467999999999999,0.12827914007264693,0.60854305057224,0.6468
F1+F15_with_da,LR-L2,425,0.6393333333333334,0.062095267309370844,0.6287663674546563,0.6393333333333333
F1_with_da,LR-L2,332,0.6329333333333333,0.08014497974157692,0.62327141319261,0.6329333333333333
F1+F15,LR-L2,423,0.6234666666666666,0.05101180691216933,0.6145427052355779,0.6234666666666666
F1,LR-L2,330,0.6204000000000001,0.06147606580342196,0.6124268122159253,0.6204000000000001
F1+F15+F2_full_hybrid,RBF-SVM,1827,0.6110666666666666,0.1068370306172495,0.5802968746604991,0.6110666666666666
F1+F15+F2_full_hybrid_with_da,RBF-SVM,1829,0.6109333333333333,0.10792310019433075,0.5803296615806441,0.6109333333333333
F1+F2_with_da,RBF-SVM,1736,0.6072000000000001,0.10663616230487251,0.576437663758119,0.6072
F1+F2,RBF-SVM,1734,0.6072,0.10581274865429864,0.5758381094366867,0.6072
F1+F15+F2_full_hybrid_with_da,LR-L2,1829,0.5676,0.10588429744038746,0.5664842832675068,0.5676
F1+F15+F2_full_hybrid,LR-L2,1827,0.5617333333333333,0.11192584846922339,0.5609749659549854,0.5617333333333333
F15+F2_with_da,RandomForest,1499,0.5572000000000001,0.08745630019869606,0.5277421141114856,0.5572000000000001
F15+F2_with_da,RBF-SVM,1499,0.5570666666666666,0.08988348012844186,0.5335239501774963,0.5570666666666667
F15+F2,RBF-SVM,1497,0.5557333333333333,0.08708677664643849,0.5322076006340258,0.5557333333333333
F2,RandomForest,1404,0.5517333333333333,0.08629726402255043,0.5239841311681441,0.5517333333333333
F2_with_da,RBF-SVM,1406,0.5506666666666666,0.09241644875237309,0.527750385406063,0.5506666666666666
F2,RBF-SVM,1404,0.5504,0.0908200663094035,0.5271825118681278,0.5504
F2_with_da,RandomForest,1406,0.5484,0.08885903943262548,0.5210858680313907,0.5484
F1+F2_with_da,LR-L2,1736,0.5464,0.09284692300292514,0.5440186429397322,0.5464
F15+F2,RandomForest,1497,0.5448000000000001,0.09212011482600073,0.5125488401384134,0.5448
F1+F2,LR-L2,1734,0.5362666666666667,0.09651952019036242,0.5347809853091383,0.5362666666666667
F15+F2,LR-L2,1497,0.5321333333333333,0.11823998195759898,0.5269375350014077,0.5321333333333333
F15+F2_with_da,LR-L2,1499,0.5317333333333334,0.10755843889615438,0.526790997055771,0.5317333333333333
F2,LR-L2,1404,0.5313333333333332,0.059695523748063,0.5276656778137788,0.5313333333333332
F2_with_da,LR-L2,1406,0.5274666666666666,0.05326395487465128,0.5261590955165156,0.5274666666666666
F15,LR-L2,93,0.5224,0.06579240077698943,0.5155958226288191,0.5224
F15_with_da,RandomForest,95,0.5172000000000001,0.02540481144280439,0.4736437506233222,0.5172000000000001
F15_with_da,LR-L2,95,0.5149333333333332,0.06622869468742382,0.5081147102428699,0.5149333333333332
F15,RandomForest,93,0.5,0.02815512584079692,0.45580254556828875,0.5
F15_with_da,RBF-SVM,95,0.46853333333333336,0.10387719244911807,0.463419030189416,0.46853333333333336
F15,RBF-SVM,93,0.4492,0.1281647550789391,0.44216556172960375,0.4492
