family,classifier,n_features,mean_acc,std_acc,mean_macro_f1,mean_balanced_acc
F1,RandomForest,350,0.9333333333333333,0.05598571246309186,0.931973024138764,0.9333333333333333
F1+F2,RandomForest,350,0.9333333333333333,0.05598571246309186,0.931973024138764,0.9333333333333333
F1+F15+F2_full_hybrid,RandomForest,443,0.9237333333333334,0.048738029869451596,0.9222715768420503,0.9237333333333334
F1+F15,RandomForest,443,0.9237333333333334,0.048738029869451596,0.9222715768420503,0.9237333333333334
F1+F15+F2_full_hybrid,LR-L2,443,0.9037333333333333,0.039870011007996704,0.9024330472058686,0.9037333333333333
F1+F15,LR-L2,443,0.9037333333333333,0.039870011007996704,0.9024330472058686,0.9037333333333333
F1,LR-L2,350,0.9014666666666666,0.04764946076411686,0.9000030590212239,0.9014666666666666
F1+F2,LR-L2,350,0.9014666666666666,0.04764946076411686,0.9000030590212239,0.9014666666666666
F1+F2,RBF-SVM,350,0.8749333333333335,0.054932038819698756,0.8726516881901466,0.8749333333333335
F1,RBF-SVM,350,0.8749333333333335,0.054932038819698756,0.8726516881901466,0.8749333333333335
F1+F15+F2_full_hybrid,RBF-SVM,443,0.8714666666666666,0.059478324716749645,0.869078897054391,0.8714666666666666
F1+F15,RBF-SVM,443,0.8714666666666666,0.059478324716749645,0.869078897054391,0.8714666666666666
F15,RandomForest,93,0.554,0.08077403323125845,0.5177462671760449,0.554
F15+F2,RandomForest,93,0.554,0.08077403323125845,0.5177462671760449,0.554
F15+F2,LR-L2,93,0.49106666666666665,0.08933293532249646,0.4847197724949458,0.49106666666666665
F15,LR-L2,93,0.49106666666666665,0.08933293532249646,0.4847197724949458,0.49106666666666665
F15,RBF-SVM,93,0.4794666666666667,0.06494086198654551,0.4606298668307341,0.4794666666666667
F15+F2,RBF-SVM,93,0.4794666666666667,0.06494086198654551,0.4606298668307341,0.4794666666666667
