family,classifier,n_features,mean_acc,std_acc,mean_macro_f1,mean_balanced_acc
F1,RandomForest,350,0.9276,0.07043433506149932,0.9244244294224156,0.9276
F1+F15,RandomForest,443,0.9221333333333334,0.06569884152538592,0.9189252767621572,0.9221333333333334
F1+F15,LR-L2,443,0.9093333333333333,0.05861967815219275,0.9090432101912203,0.9093333333333333
F1,LR-L2,350,0.9023999999999999,0.05900598839665908,0.9021485927519164,0.9023999999999999
F1+F15+F2_full_hybrid,RandomForest,1847,0.8960000000000001,0.05897796198581296,0.8900107158002131,0.8960000000000001
F1+F2,RandomForest,1754,0.8956,0.0634960716195192,0.8896323550783329,0.8956
F1+F2,LR-L2,1754,0.8949333333333331,0.0454969596053773,0.8939523024881284,0.8949333333333331
F1+F15+F2_full_hybrid,LR-L2,1847,0.8889333333333334,0.053138979206521365,0.8876485934315717,0.8889333333333334
F1,RBF-SVM,350,0.8825333333333333,0.06402693877493199,0.8812651875136102,0.8825333333333333
F1+F15,RBF-SVM,443,0.8816,0.06396471249403413,0.8804503029023069,0.8815999999999999
F1+F15+F2_full_hybrid,RBF-SVM,1847,0.8466666666666667,0.09205215912731217,0.8441058712125864,0.8466666666666667
F1+F2,RBF-SVM,1754,0.8465333333333334,0.08290224497697404,0.8442448541176157,0.8465333333333334
F2,LR-L2,1404,0.7337333333333333,0.034385009653755946,0.7324886178575685,0.7337333333333333
F15+F2,LR-L2,1497,0.7235999999999999,0.058041517707394394,0.7218303504746487,0.7235999999999999
F15+F2,RBF-SVM,1497,0.7037333333333333,0.07708534952318184,0.6947285324007277,0.7037333333333333
F2,RBF-SVM,1404,0.6870666666666667,0.06725156751580837,0.6802460192222581,0.6870666666666667
F15+F2,RandomForest,1497,0.6474666666666666,0.10624366124882723,0.628872606069521,0.6474666666666666
F2,RandomForest,1404,0.6373333333333333,0.10013324456276579,0.6176516764064048,0.6373333333333334
F15,RandomForest,93,0.5598666666666666,0.05885635998862918,0.5313730918104185,0.5598666666666666
F15,RBF-SVM,93,0.55,0.053269962351112005,0.5430428718047302,0.55
F15,LR-L2,93,0.5422666666666667,0.07631816443168835,0.5446263432642986,0.5422666666666667
