file,object,distance_cm,trial,nominal_hz,peak_hz,offset_hz
100cm_-10Grad.pickle,Box,100,0,40000,42134.462998139476,2134.4629981394755
100cm_-10Grad.pickle,Box,100,0,50000,50306.66625949984,306.66625949984154
100cm_-10Grad.pickle,Box,100,0,60000,57609.07541027068,-2390.924589729322
100cm_-10Grad.pickle,Box,100,1,40000,42356.48674092625,2356.4867409262515
100cm_-10Grad.pickle,Box,100,1,50000,50169.193830269156,169.19383026915602
100cm_-10Grad.pickle,Box,100,1,60000,57408.026922831064,-2591.9730771689356
100cm_-10Grad.pickle,Box,100,2,40000,42261.46483755245,2261.4648375524484
100cm_-10Grad.pickle,Box,100,2,50000,50195.52868251677,195.52868251677137
100cm_-10Grad.pickle,Box,100,2,60000,57529.93372045754,-2470.066279542458
100cm_-10Grad.pickle,Box,100,3,40000,42229.98497460382,2229.9849746038235
100cm_-10Grad.pickle,Box,100,3,50000,50216.908181403625,216.90818140362535
100cm_-10Grad.pickle,Box,100,3,60000,57577.16094197802,-2422.8390580219784
100cm_-10Grad.pickle,Box,100,4,40000,42317.824294157566,2317.8242941575663
100cm_-10Grad.pickle,Box,100,4,50000,50147.86405182904,147.86405182904127
100cm_-10Grad.pickle,Box,100,4,60000,57466.40630571265,-2533.5936942873523
100cm_-10Grad.pickle,Box,100,5,40000,42041.68469207808,2041.6846920780808
100cm_-10Grad.pickle,Box,100,5,50000,50035.07467827765,35.07467827764776
100cm_-10Grad.pickle,Box,100,5,60000,57716.1084632082,-2283.8915367918016
100cm_-10Grad.pickle,Box,100,6,40000,41999.11271518593,1999.1127151859328
100cm_-10Grad.pickle,Box,100,6,50000,50029.37918670493,29.379186704929452
100cm_-10Grad.pickle,Box,100,6,60000,57783.20588239402,-2216.794117605983
100cm_-10Grad.pickle,Box,100,7,40000,42110.808431341604,2110.808431341604
100cm_-10Grad.pickle,Box,100,7,50000,49997.900335724175,-2.0996642758254893
100cm_-10Grad.pickle,Box,100,7,60000,57707.107672518934,-2292.892327481066
100cm_-10Grad.pickle,Box,100,8,40000,42902.583706939506,2902.5837069395056
100cm_-10Grad.pickle,Box,100,8,50000,50518.63935043818,518.6393504381776
100cm_-10Grad.pickle,Box,100,8,60000,57556.551651951806,-2443.448348048194
100cm_-10Grad.pickle,Box,100,9,40000,42318.53424479104,2318.534244791037
100cm_-10Grad.pickle,Box,100,9,50000,50257.4208912294,257.42089122939797
100cm_-10Grad.pickle,Box,100,9,60000,57590.857013634304,-2409.142986365696
100cm_-10Grad.pickle,Box,100,10,40000,42223.11776814516,2223.117768145159
100cm_-10Grad.pickle,Box,100,10,50000,50036.36716214913,36.36716214913031
100cm_-10Grad.pickle,Box,100,10,60000,57608.98854382657,-2391.01145617343
100cm_-10Grad.pickle,Box,100,11,40000,42204.21917778544,2204.2191777854387
100cm_-10Grad.pickle,Box,100,11,50000,50117.04039897671,117.04039897670737
100cm_-10Grad.pickle,Box,100,11,60000,57651.9998138076,-2348.000186192403
100cm_-10Grad.pickle,Box,100,12,40000,42586.87983508171,2586.8798350817087
100cm_-10Grad.pickle,Box,100,12,50000,50396.87897275744,396.87897275744035
100cm_-10Grad.pickle,Box,100,12,60000,57494.14972480845,-2505.850275191551
100cm_-10Grad.pickle,Box,100,13,40000,42261.71180150721,2261.711801507212
100cm_-10Grad.pickle,Box,100,13,50000,50175.662398847155,175.6623988471547
100cm_-10Grad.pickle,Box,100,13,60000,57506.22539473232,-2493.774605267681
100cm_-10Grad.pickle,Box,100,14,40000,42019.910574217465,2019.9105742174652
100cm_-10Grad.pickle,Box,100,14,50000,50060.35870585978,60.35870585977682
100cm_-10Grad.pickle,Box,100,14,60000,57507.29803352603,-2492.701966473971
100cm_-10Grad.pickle,Box,100,15,40000,42191.972615386876,2191.972615386876
100cm_-10Grad.pickle,Box,100,15,50000,50072.13024754364,72.13024754363869
100cm_-10Grad.pickle,Box,100,15,60000,57442.83430653622,-2557.1656934637795
100cm_-10Grad.pickle,Box,100,16,40000,41936.73497050082,1936.7349705008164
100cm_-10Grad.pickle,Box,100,16,50000,49885.12892978541,-114.87107021459087
100cm_-10Grad.pickle,Box,100,16,60000,57527.828060279746,-2472.171939720254
100cm_-10Grad.pickle,Box,100,17,40000,41911.54648878452,1911.5464887845228
100cm_-10Grad.pickle,Box,100,17,50000,49827.03815806208,-172.9618419379185
100cm_-10Grad.pickle,Box,100,17,60000,57505.75929460368,-2494.240705396318
100cm_-10Grad.pickle,Box,100,18,40000,42156.93172516112,2156.931725161121
100cm_-10Grad.pickle,Box,100,18,50000,50063.98068676585,63.98068676584808
100cm_-10Grad.pickle,Box,100,18,60000,57615.05687802231,-2384.943121977689
100cm_-10Grad.pickle,Box,100,19,40000,42276.214842043315,2276.214842043315
100cm_-10Grad.pickle,Box,100,19,50000,50058.672398290364,58.67239829036407
100cm_-10Grad.pickle,Box,100,19,60000,57524.4349600989,-2475.565039901099
