object,distance_cm,angle_deg,band_center_hz,n_trials,snr_gain_db_mean,snr_gain_db_median,snr_gain_db_std,snr_db_bandpassed_mean,snr_db_detrended_only_mean
Box,25,-10.0,40000.0,100,1.815904647479536,1.8148136630127132,0.01995898327023469,14.669634019722599,12.85372937224306
Box,25,-10.0,50000.0,100,10.229853607060292,10.229833134797813,0.012116905801035445,23.083582979303355,12.85372937224306
Box,25,-10.0,60000.0,100,5.243411574742101,5.247253035530262,0.07742220046394827,18.097140946985164,12.85372937224306
Box,25,-5.0,40000.0,100,1.8611141991160458,1.8609458632983031,0.011956396375184598,15.954861537785707,14.093747338669662
Box,25,-5.0,50000.0,100,10.00540185141057,10.005560302587694,0.012834408169264233,24.09914919008023,14.093747338669662
Box,25,-5.0,60000.0,100,4.5971529644541365,4.596988883739066,0.050819912720402816,18.690900303123797,14.093747338669662
Box,25,0.0,40000.0,100,1.687833857593506,1.6912791587734013,0.019592874834595247,18.834710620394173,17.14687676280067
Box,25,0.0,50000.0,100,9.750644639685088,9.750074558772106,0.009691397016387592,26.897521402485754,17.14687676280067
Box,25,0.0,60000.0,100,4.8869024281939035,4.874848510604165,0.06962278150658678,22.033779190994572,17.14687676280067
Box,25,5.0,40000.0,100,2.008087779215175,2.0084384091792105,0.010026532977219584,16.001995971485098,13.993908192269924
Box,25,5.0,50000.0,100,10.066238929726083,10.064595558347424,0.00942621809379795,24.060147121996007,13.993908192269924
Box,25,5.0,60000.0,100,4.263642710143127,4.265260239729612,0.04702943598954933,18.25755090241305,13.993908192269924
Box,25,10.0,40000.0,100,1.963108012324892,1.9654653102838564,0.013877954691738772,15.194477727251018,13.231369714926124
Box,25,10.0,50000.0,100,10.05673974854346,10.056445283421706,0.01375276701579033,23.288109463469585,13.231369714926124
Box,25,10.0,60000.0,100,4.416651139634864,4.418901985275136,0.04790008563489165,17.64802085456099,13.231369714926124
Box,50,-10.0,40000.0,100,4.344052821492921,4.342774223140109,0.02510122135650856,18.855385793076447,14.511332971583526
Box,50,-10.0,50000.0,100,8.999218607644563,8.998674068808498,0.019850099791300264,23.51055157922809,14.511332971583526
Box,50,-10.0,60000.0,100,9.826427982842999,9.830404902196936,0.07754932971754105,24.337760954426525,14.511332971583526
Box,50,-5.0,40000.0,100,4.744049212994025,4.744503141128147,0.011483920614558841,24.0603452300721,19.316296017078077
