object,distance_cm,angle_deg,mic,trial,band_center_hz,preprocessing,filename,roi_start,roi_end,roi_length,object_roi_power_mean,reference_roi_noise_power_mean,estimated_signal_power,snr_db
Box,100,-10.0,Mic2,0,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,142.30564181978886,7.729326246839716,134.57631557294914,12.408269952215733
Box,100,-10.0,Mic2,0,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,107.4054880546544,2.7446360583479934,104.6608519963064,15.812995011165082
Box,100,-10.0,Mic2,0,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,101.13788535779743,0.755561583780484,100.38232377401694,21.233873767615464
Box,100,-10.0,Mic2,0,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,60.58894535885602,0.18872820490192116,60.4002171539541,25.052016909118077
Box,100,-10.0,Mic2,1,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,197.06273214311977,7.729326246839716,189.33340589628006,13.890856086326792
Box,100,-10.0,Mic2,1,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,149.91323943059666,2.7446360583479934,147.16860337224867,17.29330403753811
Box,100,-10.0,Mic2,1,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,142.97712985448675,0.755561583780484,142.22156827070626,22.746955949900318
Box,100,-10.0,Mic2,1,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,84.8778870612279,0.18872820490192116,84.68915885632597,26.519910103091696
Box,100,-10.0,Mic2,2,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,159.2097851191503,7.729326246839716,151.48045887231058,12.922149732335377
Box,100,-10.0,Mic2,2,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,120.98328398848516,2.7446360583479934,118.23864793013716,16.342746901866057
Box,100,-10.0,Mic2,2,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,113.86992763867303,0.755561583780484,113.11436605489254,21.752478975780853
Box,100,-10.0,Mic2,2,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,67.63196064003884,0.18872820490192116,67.44323243513692,25.531015679738882
