preprocessing,object,band_center_hz,snr_db_mean,snr_db_median,snr_db_std
bandpassed,Box,40000.0,15.930771395733696,15.81241109914027,4.39884320022284
bandpassed,Box,50000.0,24.448560756692043,24.25863302139284,2.8934779087479536
bandpassed,Box,60000.0,23.371734371594247,24.264707393815158,3.9355196245975144
bandpassed,Dose,40000.0,8.685110331030955,8.639703199355857,2.765225237431204
bandpassed,Dose,50000.0,16.837212704866268,16.422583593969435,3.2682434703569467
bandpassed,Dose,60000.0,14.694896818745905,15.248118140452968,2.5622403666206917
bandpassed,Glas,40000.0,15.346810981615196,15.20125676685696,3.641282740805447
bandpassed,Glas,50000.0,23.53476805118133,24.017025702639586,3.5283996264873125
bandpassed,Glas,60000.0,22.03705392831429,21.641833673500543,2.87023307673251
detrended_only,Box,,12.654124230204179,13.287035880680062,4.330855101956317
detrended_only,Dose,,4.66645570292284,4.9022555902589255,2.3207569781254804
detrended_only,Glas,,11.676628358654847,11.822398590226772,3.58029989646352
