object,distance_cm,angle_deg,mic,trial,filename,band_center_hz,roi_start,roi_end,roi_length,snr_db_preprocessed,snr_db_denoised,snr_improvement_db,reference_roi_noise_power_mean_pre,reference_roi_noise_power_mean_denoised,denoised_roi_power_mean,denoised_estimated_signal_power
Box,100,-10.0,Mic2,0,100cm_-10Grad.pickle,40000,11550,12180,630,15.812995011165082,15.781371841650751,-0.031623169514331195,2.7446360583479934,1.8027881124058476,70.04952165984916,68.24673354744331
Box,100,-10.0,Mic2,0,100cm_-10Grad.pickle,50000,11550,12180,630,21.233873767615464,17.013416880211988,-4.220456887403476,0.755561583780484,0.5916083103643819,30.33400446708476,29.74239615672038
Box,100,-10.0,Mic2,0,100cm_-10Grad.pickle,60000,11550,12180,630,25.05201690911808,21.016460618734776,-4.035556290383305,0.1887282049019211,0.18434095632273084,23.479618982423876,23.295278026101144
Box,100,-10.0,Mic2,1,100cm_-10Grad.pickle,40000,11550,12180,630,17.29330403753811,17.14153398805786,-0.15177004948025186,2.7446360583479934,1.8027881124058476,95.1492979199612,93.34650980755535
Box,100,-10.0,Mic2,1,100cm_-10Grad.pickle,50000,11550,12180,630,22.74695594990032,19.086118865417973,-3.660837084482349,0.755561583780484,0.5916083103643819,48.525882136965954,47.934273826601576
Box,100,-10.0,Mic2,1,100cm_-10Grad.pickle,60000,11550,12180,630,26.519910103091696,22.059388538800505,-4.4605215642911915,0.1887282049019211,0.18434095632273084,29.802679307627585,29.618338351304853
Box,100,-10.0,Mic2,2,100cm_-10Grad.pickle,40000,11550,12180,630,16.342746901866057,16.292324209615167,-0.05042269225089058,2.7446360583479934,1.8027881124058476,78.57023666851784,76.76744855611199
Box,100,-10.0,Mic2,2,100cm_-10Grad.pickle,50000,11550,12180,630,21.752478975780853,17.79106108394388,-3.961417891836973,0.755561583780484,0.5916083103643819,36.16623687702148,35.574628566657104
Box,100,-10.0,Mic2,2,100cm_-10Grad.pickle,60000,11550,12180,630,25.53101567973888,21.446972306166433,-4.084043373572445,0.1887282049019211,0.18434095632273084,25.907189867053024,25.722848910730292
Box,100,-10.0,Mic2,3,100cm_-10Grad.pickle,40000,11550,12180,630,15.803356559729096,15.674761246131553,-0.12859531359754328,2.7446360583479934,1.8027881124058476,68.3945967138227,66.59180860141684
Box,100,-10.0,Mic2,3,100cm_-10Grad.pickle,50000,11550,12180,630,21.252477868849372,17.266628457047826,-3.9858494118015457,0.755561583780484,0.5916083103643819,32.11965838565575,31.528050075291365
Box,100,-10.0,Mic2,3,100cm_-10Grad.pickle,60000,11550,12180,630,25.072419166294647,21.054048087980423,-4.018371078314225,0.1887282049019211,0.18434095632273084,23.682110764012858,23.497769807690126
Box,100,-10.0,Mic2,4,100cm_-10Grad.pickle,40000,11550,12180,630,15.441330525671813,15.271905142212166,-0.16942538345964664,2.7446360583479934,1.8027881124058476,62.495312274791395,60.692524162385546
Box,100,-10.0,Mic2,4,100cm_-10Grad.pickle,50000,11550,12180,630,20.881035901234863,17.027538775245507,-3.8534971259893567,0.755561583780484,0.5916083103643819,30.430874825776694,29.839266515412312
Box,100,-10.0,Mic2,4,100cm_-10Grad.pickle,60000,11550,12180,630,24.635085861271413,20.38844840290862,-4.246637458362795,0.1887282049019211,0.18434095632273084,20.34323380694961,20.158892850626877
Box,100,-10.0,Mic2,5,100cm_-10Grad.pickle,40000,11550,12180,630,15.707939288575574,15.825650895708161,0.11771160713258766,2.7446360583479934,1.8027881124058476,70.74889927315996,68.94611116075411
Box,100,-10.0,Mic2,5,100cm_-10Grad.pickle,50000,11550,12180,630,20.99131895127398,16.35953899208375,-4.631779959190229,0.755561583780484,0.5916083103643819,26.176769954616393,25.58516164425201
Box,100,-10.0,Mic2,5,100cm_-10Grad.pickle,60000,11550,12180,630,24.647364387494104,20.68568748886024,-3.961676898633865,0.1887282049019211,0.18434095632273084,21.771256135887114,21.586915179564382
Box,100,-10.0,Mic2,6,100cm_-10Grad.pickle,40000,11550,12180,630,16.153560890109937,16.350364929422764,0.19680403931282697,2.7446360583479934,1.8027881124058476,79.6030714462626,77.80028333385675
