object,distance_cm,angle_deg,band_center_hz,n_trials,snr_db_preprocessed_mean,snr_db_denoised_mean,snr_improvement_db_mean,snr_improvement_db_median,snr_improvement_db_std
Box,25,-10.0,40000,100,14.669634019722599,14.507591938005232,-0.1620420817173657,-0.162425056831057,0.007663508937179686
Box,25,-10.0,50000,100,23.083582979303355,10.70250326566428,-12.381079713639075,-12.381180012081435,0.3218319271365816
Box,25,-10.0,60000,100,18.097140946985164,12.38391744261616,-5.713223504369003,-5.686706732788013,0.30651438393156333
Box,25,-5.0,40000,100,15.954861537785707,15.60328728174986,-0.3515742560358461,-0.3517981050753338,0.018109780844266496
Box,25,-5.0,50000,100,24.09914919008023,12.509533866760503,-11.589615323319729,-11.578169116698504,0.3551141735426768
Box,25,-5.0,60000,100,18.690900303123797,11.732461878368078,-6.9584384247557205,-6.907278093295124,0.4340776928652965
Box,25,0.0,40000,100,18.834710620394173,18.369775876988072,-0.46493474340610264,-0.4645550496943578,0.012975589586102888
Box,25,0.0,50000,100,26.897521402485754,7.717250931464452,-19.180270471021302,-19.193128500758046,0.8875906198044685
Box,25,0.0,60000,100,22.033779190994572,17.585470364344747,-4.448308826649822,-4.46408367927658,0.16213297810229121
Box,25,5.0,40000,100,16.001995971485098,15.987070560170418,-0.014925411314679539,-0.015443501949055083,0.006561377306441129
Box,25,5.0,50000,100,24.060147121996007,12.2871467196706,-11.773000402325408,-11.785970339686077,0.2007902216734621
Box,25,5.0,60000,100,18.25755090241305,9.010180267471027,-9.247370634942024,-9.259517666229705,0.4987386209370249
Box,25,10.0,40000,100,15.194477727251018,15.153435491872559,-0.04104223537845904,-0.0408286171942569,0.011758376825062837
Box,25,10.0,50000,100,23.288109463469585,11.566889737295146,-11.721219726174441,-11.720521369331756,0.21781704392344076
Box,25,10.0,60000,100,17.64802085456099,9.528885413599403,-8.119135440961589,-8.129141018446894,0.39158799203491984
Box,50,-10.0,40000,100,18.855385793076447,17.962816567370957,-0.8925692257054908,-0.8917587042647224,0.043601957927917434
Box,50,-10.0,50000,100,23.51055157922809,18.801304198094694,-4.709247381133395,-4.6998692956712755,0.10502396973689697
Box,50,-10.0,60000,100,24.337760954426525,17.344128730534646,-6.993632223891877,-6.9980953487252595,0.1776286761056726
Box,50,-5.0,40000,100,24.0603452300721,23.781896330113806,-0.2784488999582944,-0.2773150988583737,0.014594337813901443
Box,50,-5.0,50000,100,27.92458123923294,19.529444026802835,-8.395137212430107,-8.385635356228715,0.20316173071725424
