file,material,distance_cm,angle_deg,mic,mode,n_trials,n_samples,output_plot
Multifrequenz Dataset\Multifrequenz\Box\100cm_-10Grad.pickle,Box,100.0,-10.0,Mic2,mean,100,18000,outputs\stft\Box\100cm_-10Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\100cm_-5Grad.pickle,Box,100.0,-5.0,Mic2,mean,100,18000,outputs\stft\Box\100cm_-5Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\100cm_0Grad.pickle,Box,100.0,0.0,Mic2,mean,100,18000,outputs\stft\Box\100cm_0Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\100cm_10Grad.pickle,Box,100.0,10.0,Mic2,mean,100,18000,outputs\stft\Box\100cm_10Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\100cm_5Grad.pickle,Box,100.0,5.0,Mic2,mean,100,18000,outputs\stft\Box\100cm_5Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\125cm_-10Grad.pickle,Box,125.0,-10.0,Mic2,mean,100,18000,outputs\stft\Box\125cm_-10Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\125cm_-5Grad.pickle,Box,125.0,-5.0,Mic2,mean,100,18000,outputs\stft\Box\125cm_-5Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\125cm_0Grad.pickle,Box,125.0,0.0,Mic2,mean,100,18000,outputs\stft\Box\125cm_0Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\125cm_10Grad.pickle,Box,125.0,10.0,Mic2,mean,100,18000,outputs\stft\Box\125cm_10Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\125cm_5Grad.pickle,Box,125.0,5.0,Mic2,mean,100,18000,outputs\stft\Box\125cm_5Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\25cm_-10Grad.pickle,Box,25.0,-10.0,Mic2,mean,100,18000,outputs\stft\Box\25cm_-10Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\25cm_-5Grad.pickle,Box,25.0,-5.0,Mic2,mean,100,18000,outputs\stft\Box\25cm_-5Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\25cm_0Grad.pickle,Box,25.0,0.0,Mic2,mean,100,18000,outputs\stft\Box\25cm_0Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\25cm_10Grad.pickle,Box,25.0,10.0,Mic2,mean,100,18000,outputs\stft\Box\25cm_10Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\25cm_5Grad.pickle,Box,25.0,5.0,Mic2,mean,100,18000,outputs\stft\Box\25cm_5Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\50cm_-10Grad.pickle,Box,50.0,-10.0,Mic2,mean,100,18000,outputs\stft\Box\50cm_-10Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\50cm_-5Grad.pickle,Box,50.0,-5.0,Mic2,mean,100,18000,outputs\stft\Box\50cm_-5Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\50cm_0Grad.pickle,Box,50.0,0.0,Mic2,mean,100,18000,outputs\stft\Box\50cm_0Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\50cm_10Grad.pickle,Box,50.0,10.0,Mic2,mean,100,18000,outputs\stft\Box\50cm_10Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\50cm_5Grad.pickle,Box,50.0,5.0,Mic2,mean,100,18000,outputs\stft\Box\50cm_5Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\75cm_-10Grad.pickle,Box,75.0,-10.0,Mic2,mean,100,18000,outputs\stft\Box\75cm_-10Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\75cm_-5Grad.pickle,Box,75.0,-5.0,Mic2,mean,100,18000,outputs\stft\Box\75cm_-5Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\75cm_0Grad.pickle,Box,75.0,0.0,Mic2,mean,100,18000,outputs\stft\Box\75cm_0Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\75cm_10Grad.pickle,Box,75.0,10.0,Mic2,mean,100,18000,outputs\stft\Box\75cm_10Grad__Mic2__mean.png
Multifrequenz Dataset\Multifrequenz\Box\75cm_5Grad.pickle,Box,75.0,5.0,Mic2,mean,100,18000,outputs\stft\Box\75cm_5Grad__Mic2__mean.png
