file,material,distance_cm,angle_deg,mic,mode,n_trials,n_samples,output_plot
outputs\preprocessing\Box__25cm_-10Grad__Mic2__trial50__bp_40kHz.npy,preprocessing,25.0,-10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_-10Grad__Mic2__trial50__bp_40kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_-10Grad__Mic2__trial50__bp_50kHz.npy,preprocessing,25.0,-10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_-10Grad__Mic2__trial50__bp_50kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_-10Grad__Mic2__trial50__bp_60kHz.npy,preprocessing,25.0,-10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_-10Grad__Mic2__trial50__bp_60kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_-10Grad__Mic2__trial50__preprocessed.npy,preprocessing,25.0,-10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_-10Grad__Mic2__trial50__preprocessed__Mic2__trial0.png
outputs\preprocessing\Box__25cm_-5Grad__Mic2__trial50__bp_40kHz.npy,preprocessing,25.0,-5.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_-5Grad__Mic2__trial50__bp_40kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_-5Grad__Mic2__trial50__bp_50kHz.npy,preprocessing,25.0,-5.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_-5Grad__Mic2__trial50__bp_50kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_-5Grad__Mic2__trial50__bp_60kHz.npy,preprocessing,25.0,-5.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_-5Grad__Mic2__trial50__bp_60kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_-5Grad__Mic2__trial50__preprocessed.npy,preprocessing,25.0,-5.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_-5Grad__Mic2__trial50__preprocessed__Mic2__trial0.png
outputs\preprocessing\Box__25cm_0Grad__Mic2__trial50__bp_40kHz.npy,preprocessing,25.0,0.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_0Grad__Mic2__trial50__bp_40kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_0Grad__Mic2__trial50__bp_50kHz.npy,preprocessing,25.0,0.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_0Grad__Mic2__trial50__bp_50kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_0Grad__Mic2__trial50__bp_60kHz.npy,preprocessing,25.0,0.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_0Grad__Mic2__trial50__bp_60kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_0Grad__Mic2__trial50__preprocessed.npy,preprocessing,25.0,0.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_0Grad__Mic2__trial50__preprocessed__Mic2__trial0.png
outputs\preprocessing\Box__25cm_10Grad__Mic1__trial0__bp_30kHz.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_10Grad__Mic1__trial0__bp_30kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_10Grad__Mic1__trial0__bp_40kHz.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_10Grad__Mic1__trial0__bp_40kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_10Grad__Mic1__trial0__bp_50kHz.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_10Grad__Mic1__trial0__bp_50kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_10Grad__Mic1__trial0__bp_60kHz.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_10Grad__Mic1__trial0__bp_60kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_10Grad__Mic1__trial0__preprocessed.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_10Grad__Mic1__trial0__preprocessed__Mic2__trial0.png
outputs\preprocessing\Box__25cm_10Grad__Mic2__trial0__bp_40kHz.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_10Grad__Mic2__trial0__bp_40kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_10Grad__Mic2__trial0__bp_50kHz.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_10Grad__Mic2__trial0__bp_50kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_10Grad__Mic2__trial0__bp_60kHz.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_10Grad__Mic2__trial0__bp_60kHz__Mic2__trial0.png
outputs\preprocessing\Box__25cm_10Grad__Mic2__trial0__preprocessed.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_10Grad__Mic2__trial0__preprocessed__Mic2__trial0.png
outputs\preprocessing\Box__25cm_10Grad__Mic2__trial50__bp_40kHz.npy,preprocessing,25.0,10.0,Mic2,trial0,1,18000,outputs\stft\preprocessing\Box__25cm_10Grad__Mic2__trial50__bp_40kHz__Mic2__trial0.png
