category,file,relative_path,distance_cm,angle_deg,trial,n_trials,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Box,<mean_over_trials>,<mean_over_trials>,25.0,-10.0,-1,100,True,-0.04341204441673258,0.246201938253052,13.078993543968359,-65.04572273173375,0.25,66.34761576587925,168.63091941254598,6659.754466598083,6609.761576587925,178.63091941254595,45.0,20,0.0010792949065097364,0.0002170123963397503,4.3634428942010637e-05,0.001122929335451747
Box,<mean_over_trials>,<mean_over_trials>,25.0,-5.0,-1,100,True,-0.02178893568691454,0.2490486745229364,0.0669274837491774,0.2441585680110364,0.25,0.25316534994780837,15.329089721336238,8.885109014107996,0.31653499478083713,20.32908972133623,-45.0,6,1.575802442451473e-08,-4.322852100492073e-09,1.2211973976037482e-09,1.697922182211848e-08
Box,<mean_over_trials>,<mean_over_trials>,25.0,0.0,-1,100,True,0.0,0.25,-0.07726438300839641,0.2503564406189953,0.25,0.2620078858375845,-17.151142243555757,7.726520518048889,1.2007885837584498,-17.151142243555768,45.0,5,1.685490776805331e-08,5.206923424307323e-09,1.6445298132228356e-09,1.8499437581276144e-08
Box,<mean_over_trials>,<mean_over_trials>,25.0,5.0,-1,100,True,0.02178893568691454,0.2490486745229364,-0.03643259896969423,0.2551463705095118,0.25,0.25773436839479447,-8.1263869940908,5.853997774269644,0.7734368394794466,-13.126386994090808,45.0,6,1.6379328744272246e-08,2.3404589226644788e-09,3.679495932957123e-10,1.6747278337567958e-08
Box,<mean_over_trials>,<mean_over_trials>,25.0,10.0,-1,100,True,0.04341204441673258,0.246201938253052,0.0036256272213542077,0.26088646763466206,0.25,0.26091165970044305,0.7962075140307809,4.240983843878763,1.0911659700443055,-9.203792485969217,45.0,4,1.680273097535825e-08,-2.3367674725044597e-10,3.610244753078006e-11,1.683883342288903e-08
Box,<mean_over_trials>,<mean_over_trials>,50.0,-10.0,-1,100,True,-0.08682408883346517,0.492403876506104,-0.046018471494199256,0.5007878798169915,0.5,0.5028978030278716,-5.250287000029903,4.165801144984684,0.28978030278715705,4.749712999970086,45.0,3,6.213877872573828e-08,5.72026037455822e-09,5.596157885570346e-10,6.269839451429532e-08
Box,<mean_over_trials>,<mean_over_trials>,50.0,-5.0,-1,100,True,-0.04357787137382908,0.4980973490458728,0.007025668910042521,0.4984702976652591,0.5,0.49851980670593776,0.8074995168705046,5.060491458281614,-0.14801932940622375,5.807499516870507,45.0,5,6.108201669894821e-08,-8.624451599457108e-10,4.493727808016149e-11,6.112695397702837e-08
Box,<mean_over_trials>,<mean_over_trials>,50.0,0.0,-1,100,True,0.0,0.5,-0.06877815545711198,0.4944834814343299,0.5,0.49924377620506993,-7.91851806824931,6.899903365387116,-0.07562237949300665,-7.918518068249313,45.0,5,6.121561673553724e-08,8.529904461727793e-09,1.2219626881488388e-09,6.243757942368608e-08
Box,<mean_over_trials>,<mean_over_trials>,50.0,5.0,-1,100,True,0.04357787137382908,0.4980973490458728,0.09910796822068794,0.4921945067033408,0.5,0.5020735222990532,11.38480255445661,5.584295124312748,0.2073522299053221,6.3848025544565985,-45.0,5,6.186235348483578e-08,-1.2479456224436132e-08,2.551558591387174e-09,6.441391207622296e-08
Box,<mean_over_trials>,<mean_over_trials>,50.0,10.0,-1,100,True,0.08682408883346517,0.492403876506104,0.05721439249922055,0.5002145913600489,0.5,0.5034760412557439,6.525116981443585,3.0622563307728075,0.3476041255743856,-3.474883018556426,45.0,4,6.227083989108034e-08,-7.135287957761177e-09,8.507777382059039e-10,6.312161762928624e-08
