category,file,relative_path,distance_cm,angle_deg,trial,n_trials,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Box,<mean_over_trials>,<mean_over_trials>,25.0,-10.0,-1,100,True,-0.04341204441673258,0.246201938253052,16.894516857497067,-86.84311696981874,0.25,88.47119115781064,168.99114761090343,8872.115251369381,8822.119115781064,178.99114761090345,45.0,20,0.0019191815294358236,0.00037335164772727883,7.263071048342224e-05,0.001991812239919246
Box,<mean_over_trials>,<mean_over_trials>,25.0,-5.0,-1,100,True,-0.02178893568691454,0.2490486745229364,0.06692748449685204,0.2441585678054,0.25,0.2531653499471452,15.329089896831404,8.8851090898939,0.31653499471451796,20.32908989683142,-45.0,4,1.5758024422857325e-08,-4.322852151993895e-09,1.221197426044486e-09,1.697922184890181e-08
Box,<mean_over_trials>,<mean_over_trials>,25.0,0.0,-1,100,True,0.0,0.25,-0.07726438281551536,0.25035644067872137,0.25,0.2620078858377752,-17.151142199400738,7.72652049878854,1.2007885837775178,-17.151142199400738,45.0,5,1.6854907768544116e-08,5.206923410210517e-09,1.6445298044491227e-09,1.8499437572993238e-08
Box,<mean_over_trials>,<mean_over_trials>,25.0,5.0,-1,100,True,0.02178893568691454,0.2490486745229364,-0.036432599162135725,0.2551463704819468,0.25,0.2577343683947093,-8.126387037308248,5.8539977931219855,0.7734368394709312,-13.126387037308234,45.0,5,1.6379328744056193e-08,2.340458935250603e-09,3.679495969042305e-10,1.6747278340960424e-08
Box,<mean_over_trials>,<mean_over_trials>,25.0,10.0,-1,100,True,0.04341204441673258,0.246201938253052,0.0036256391147873714,0.26088646747036603,0.25,0.26091165970143426,0.7962101260586925,4.240982722418004,1.0911659701434262,-9.203789873941304,45.0,3,1.680273097426241e-08,-2.3367751393167205e-10,3.6102468897218467e-11,1.6838833443159627e-08
Box,<mean_over_trials>,<mean_over_trials>,50.0,-10.0,-1,100,True,-0.08682408883346517,0.492403876506104,-0.046018471494199256,0.5007878798169915,0.5,0.5028978030278716,-5.250287000029903,4.165801144984684,0.28978030278715705,4.749712999970086,45.0,3,6.213877872573828e-08,5.72026037455822e-09,5.596157885570346e-10,6.269839451429532e-08
Box,<mean_over_trials>,<mean_over_trials>,50.0,-5.0,-1,100,True,-0.04357787137382908,0.4980973490458728,0.0070256674428171165,0.49847029768598805,0.5,0.49851980670598695,0.807499348222817,5.060491311578335,-0.14801932940130547,5.807499348222819,45.0,4,6.108201669915012e-08,-8.624449798014084e-10,4.493727299031433e-11,6.112695397214043e-08
Box,<mean_over_trials>,<mean_over_trials>,50.0,0.0,-1,100,True,0.0,0.5,-0.06877815515670178,0.49448348147622456,0.5,0.49924377620517923,-7.91851803343905,6.899903335107313,-0.07562237948207651,-7.918518033439057,45.0,4,6.12156167359547e-08,8.529904423803845e-09,1.2219626775662774e-09,6.243757941352097e-08
Box,<mean_over_trials>,<mean_over_trials>,50.0,5.0,-1,100,True,0.04357787137382908,0.4980973490458728,0.09910796819258699,0.49219450670901294,0.5,0.5020735222990667,11.3848025511851,5.584295121458439,0.20735222990666546,6.384802551185089,-45.0,5,6.186235348489368e-08,-1.2479456220765109e-08,2.551558589902925e-09,6.44139120747966e-08
Box,<mean_over_trials>,<mean_over_trials>,50.0,10.0,-1,100,True,0.08682408883346517,0.492403876506104,0.05721438340287319,0.5002145924029731,0.5,0.5034760412582147,6.525115939493974,3.0622572369218606,0.3476041258214657,-3.474884060506014,45.0,4,6.227083990140255e-08,-7.135286809600091e-09,8.507774748084488e-10,6.3121617376211e-08
Box,<mean_over_trials>,<mean_over_trials>,75.0,-10.0,-1,100,True,-0.13023613325019776,0.738605814759156,0.0456963683197286,0.7435726771953676,0.75,0.7449754924486434,3.5166978010021612,17.600259893283503,-0.5024507551356638,13.516697801002152,45.0,5,1.3626955521667493e-07,-8.387339331586509e-09,5.490956462045629e-10,1.368186508628795e-07
