category,file,distance_cm,angle_deg,meas_idx,mic,band_center_hz,best_wavelet,best_kappa_decomposition_level,min_kappa_target,min_kappa_satisfied,best_effective_level,best_mu_sc,bp_cfg_id,bp_method,iir_order,bw_hz,preprocess_mode,top1_wavelet,top1_mu_sc,top2_wavelet,top2_mu_sc,top3_wavelet,top3_mu_sc,top4_wavelet,top4_mu_sc,top5_wavelet,top5_mu_sc
Box,100cm_-10Grad.pickle,100.0,-10.0,0,Mic2,,db6,6,4,True,10,0.06713746270000055,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,rbio2.8,0.07376090628971772,db6,0.06713746270000055,sym2,0.04833224472914227,db2,0.04833224472908258,bior2.2,0.03820848237257403
Box,100cm_-10Grad.pickle,100.0,-10.0,1,Mic2,,db6,6,4,True,10,0.061490214813385104,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.061490214813385104,sym2,0.04824371808986162,db2,0.04824371808980227,bior2.2,0.03815722288979304,db4,0.03637391300804493
Box,100cm_-10Grad.pickle,100.0,-10.0,2,Mic2,,db6,6,4,True,10,0.061951228253511736,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.061951228253511736,sym2,0.048038514271877525,db2,0.04803851427181935,bior2.2,0.03822852991550036,db4,0.03643017344601856
Box,100cm_-10Grad.pickle,100.0,-10.0,3,Mic2,,db6,6,4,True,10,0.06428795261719367,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06428795261719367,sym2,0.048266251759114594,db2,0.048266251759055454,bior2.2,0.03822376781905358,db4,0.036413630379165736
Box,100cm_-10Grad.pickle,100.0,-10.0,4,Mic2,,db6,6,4,True,10,0.06729762569744102,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06729762569744102,sym2,0.04822256246596494,db2,0.04822256246590575,bior2.2,0.0382530076701667,db4,0.03640877562513269
Box,100cm_-10Grad.pickle,100.0,-10.0,5,Mic2,,db6,6,4,True,10,0.06670721674407895,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06670721674407895,sym2,0.048026330386559915,db2,0.048026330386501295,bior2.2,0.03813986671784217,db4,0.03640605204156399
Box,100cm_-10Grad.pickle,100.0,-10.0,6,Mic2,,db6,6,4,True,10,0.06486277854378188,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06486277854378188,sym2,0.04820356095364348,db2,0.04820356095358441,bior2.2,0.03813082827075213,db4,0.036439576512044373
Box,100cm_-10Grad.pickle,100.0,-10.0,7,Mic2,,db6,6,4,True,10,0.0653407575544866,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.0653407575544866,sym2,0.04816017186392969,db2,0.04816017186387079,bior2.2,0.03816272093348687,db4,0.036380636546836966
Box,100cm_-10Grad.pickle,100.0,-10.0,8,Mic2,,db6,6,4,True,10,0.06524238029792254,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06524238029792254,sym2,0.048260401482220855,db2,0.04826040148216172,bior2.2,0.038142592280031404,db4,0.0364009990109356
Box,100cm_-10Grad.pickle,100.0,-10.0,9,Mic2,,db6,6,4,True,10,0.06156490919110093,iir_o6_bp25_75k,iir,6,25000.0,bp25_75,db6,0.06156490919110093,sym2,0.04826998278876467,db2,0.04826998278870551,bior2.2,0.03815302206872931,db4,0.036433609465667975
