category,file,distance_cm,angle_deg,meas_idx,mic,band_center_hz,best_wavelet,best_kappa_decomposition_level,min_kappa_target,min_kappa_satisfied,best_effective_level,best_mu_sc,bp_cfg_id,bp_method,iir_order,bw_hz,preprocess_mode,top1_wavelet,top1_mu_sc,top2_wavelet,top2_mu_sc,top3_wavelet,top3_mu_sc,top4_wavelet,top4_mu_sc,top5_wavelet,top5_mu_sc
Box,100cm_-10Grad.pickle,100.0,-10.0,0,Mic1,,coif3,6,4,True,10,0.042406569791400006,raw_no_bandpass,none,0,0.0,raw,coif3,0.042406569791400006,dmey,0.04188439951907033,bior2.2,0.03866819708147341,sym5,0.03503102884822324,rbio1.3,0.03455828573676536
Box,100cm_-10Grad.pickle,100.0,-10.0,1,Mic1,,dmey,5,4,True,8,0.041518088403326533,raw_no_bandpass,none,0,0.0,raw,dmey,0.041518088403326533,coif3,0.0399184874318101,bior2.2,0.03853775894846094,db2,0.03507495393524517,sym2,0.035074953935240454
Box,100cm_-10Grad.pickle,100.0,-10.0,2,Mic1,,dmey,5,4,True,8,0.04152076069438681,raw_no_bandpass,none,0,0.0,raw,dmey,0.04152076069438681,coif3,0.04141775877802649,bior2.2,0.038443429552855436,db2,0.0353911809764692,sym2,0.035391180976464806
Box,100cm_-10Grad.pickle,100.0,-10.0,3,Mic1,,dmey,5,4,True,8,0.04164567303637831,raw_no_bandpass,none,0,0.0,raw,dmey,0.04164567303637831,coif3,0.04067736897264949,bior2.2,0.03864564128234815,rbio1.3,0.03523804466836915,db2,0.035062259931733286
Box,100cm_-10Grad.pickle,100.0,-10.0,4,Mic1,,dmey,5,4,True,8,0.04169844154096451,raw_no_bandpass,none,0,0.0,raw,dmey,0.04169844154096451,coif3,0.039132850231921444,rbio2.8,0.03906072148350671,bior2.2,0.03785164750552022,rbio1.3,0.03563493724882257
Box,100cm_-10Grad.pickle,100.0,-10.0,5,Mic1,,dmey,5,4,True,8,0.04157706154185341,raw_no_bandpass,none,0,0.0,raw,dmey,0.04157706154185341,coif3,0.04151349047612589,bior2.2,0.03921546514076254,rbio1.3,0.03471517840735831,db2,0.03379690025664619
Box,100cm_-10Grad.pickle,100.0,-10.0,6,Mic1,,dmey,5,4,True,8,0.04167211550750445,raw_no_bandpass,none,0,0.0,raw,dmey,0.04167211550750445,coif3,0.039714775478341055,bior2.2,0.0380470071910811,rbio1.3,0.03511243826271794,sym5,0.03485791323776944
Box,100cm_-10Grad.pickle,100.0,-10.0,7,Mic1,,dmey,5,4,True,8,0.04176163903501702,raw_no_bandpass,none,0,0.0,raw,dmey,0.04176163903501702,coif3,0.04134940330181586,bior2.2,0.03922321016372122,rbio1.3,0.03484866782746409,sym5,0.0343431380931172
Box,100cm_-10Grad.pickle,100.0,-10.0,8,Mic1,,dmey,5,4,True,8,0.04173654684910494,raw_no_bandpass,none,0,0.0,raw,dmey,0.04173654684910494,rbio2.8,0.041235499517744106,coif3,0.04025599579071062,bior2.2,0.03793554849080611,rbio1.3,0.035081331555960917
Box,100cm_-10Grad.pickle,100.0,-10.0,9,Mic1,,dmey,5,4,True,8,0.04152039941747677,raw_no_bandpass,none,0,0.0,raw,dmey,0.04152039941747677,rbio2.8,0.040195318312768576,coif3,0.03961581622712446,bior2.2,0.037677812686289024,rbio1.3,0.03565721178082994
Box,100cm_-10Grad.pickle,100.0,-10.0,10,Mic1,,dmey,5,4,True,8,0.041381426758866954,raw_no_bandpass,none,0,0.0,raw,dmey,0.041381426758866954,coif3,0.03916936672650926,rbio2.8,0.0391202718515408,bior2.2,0.037611870341781914,rbio1.3,0.035827664860971616
Box,100cm_-10Grad.pickle,100.0,-10.0,11,Mic1,,dmey,5,4,True,8,0.04100545942740128,raw_no_bandpass,none,0,0.0,raw,dmey,0.04100545942740128,rbio2.8,0.03997823751292938,coif3,0.039462828571387595,bior2.2,0.037505039913428545,rbio1.3,0.03521401339919721
Box,100cm_-10Grad.pickle,100.0,-10.0,12,Mic1,,dmey,5,4,True,8,0.04169167773107777,raw_no_bandpass,none,0,0.0,raw,dmey,0.04169167773107777,coif3,0.04044840591630166,bior2.2,0.038236186638993606,rbio1.3,0.03462877000001039,sym5,0.03349475160710864
Box,100cm_-10Grad.pickle,100.0,-10.0,13,Mic1,,coif3,6,4,True,10,0.04168151477086151,raw_no_bandpass,none,0,0.0,raw,coif3,0.04168151477086151,dmey,0.04144375616964422,bior2.2,0.038263726700993754,db2,0.03519228281260843,sym2,0.03519228281260345
Box,100cm_-10Grad.pickle,100.0,-10.0,14,Mic1,,dmey,5,4,True,8,0.04148016800467544,raw_no_bandpass,none,0,0.0,raw,dmey,0.04148016800467544,coif3,0.04098543793181156,bior2.2,0.038916204541397395,rbio1.3,0.03456715855555009,db2,0.03439464579988883
Box,100cm_-10Grad.pickle,100.0,-10.0,15,Mic1,,dmey,5,4,True,8,0.04165013581690049,raw_no_bandpass,none,0,0.0,raw,dmey,0.04165013581690049,coif3,0.04095976491115143,bior2.2,0.038488075318479184,rbio1.3,0.03539158751320936,db2,0.03490586105880309
Box,100cm_-10Grad.pickle,100.0,-10.0,16,Mic1,,rbio2.8,7,4,True,10,0.04232510706777367,raw_no_bandpass,none,0,0.0,raw,rbio2.8,0.04232510706777367,dmey,0.04158024466411079,coif3,0.040969240849539366,bior2.2,0.03791040177598774,db2,0.03519080413264837
Box,100cm_-10Grad.pickle,100.0,-10.0,17,Mic1,,dmey,5,4,True,8,0.041269642924976035,raw_no_bandpass,none,0,0.0,raw,dmey,0.041269642924976035,coif3,0.04012464430752592,bior2.2,0.03708302564693652,rbio1.3,0.034811599685698934,sym5,0.0342445014851031
Box,100cm_-10Grad.pickle,100.0,-10.0,18,Mic1,,dmey,5,4,True,8,0.04144436514823662,raw_no_bandpass,none,0,0.0,raw,dmey,0.04144436514823662,coif3,0.04114409752252495,bior2.2,0.037363319803878976,db2,0.03478276798883182,sym2,0.0347827679888267
